,Unnamed: 0,Unnamed: 0.2,targetApp,lifecycle:transition,eventType,target.sheetName,timeStamp,target.workbookName,case:concept:name,case:description,url,target.name,target.value,Column,Row,idx,Task,target.id,target.innerText,target.tagName,content
53,53,53,Web,complete,waitResponse,,2019-02-21 16:12:27.056000+00:00,,5,instance with id 5,www.webpage.com/wrong,,,,,4,CopyPasteStuff,,,,
54,54,54,Excel,complete,insertValue,,2019-02-21 16:12:34.409000+00:00,,5,instance with id 5,,,Wrong log-in,A,10.0,4,CopyPasteStuff,A10.0,,,
55,55,55,Excel,complete,insertValue,,2019-02-21 16:12:37.395000+00:00,,5,instance with id 5,,,Wrong log-in,B,10.0,4,CopyPasteStuff,B10.0,,,
56,56,56,Excel,complete,insertValue,,2019-02-21 16:12:39.830000+00:00,,5,instance with id 5,,,Wrong log-in,C,10.0,4,CopyPasteStuff,C10.0,,,
57,57,57,Web,complete,clickButton,,2019-02-21 16:12:42.726000+00:00,,5,instance with id 5,,,,,,4,CopyPasteStuff,,cancel,,
58,58,58,Excel,complete,openFile,Sheet1,2019-02-21 16:12:52.726000+00:00,data.xls,6,instance with id 6,,,,,,5,CopyPasteStuff,,,,
59,59,59,Web,complete,goToUrl,,2019-02-21 16:12:57.139000+00:00,,6,instance with id 6,www.webpage.com,,,,,5,CopyPasteStuff,,,,
60,60,60,Web,complete,insertValue,,2019-02-21 16:13:08.944000+00:00,,6,instance with id 6,,,Frank01,,,5,CopyPasteStuff,,username,,
61,61,61,Web,complete,insertValue,,2019-02-21 16:13:15.528000+00:00,,6,instance with id 6,,,LittleFrank123,,,5,CopyPasteStuff,,password,,
62,62,62,Web,complete,clickButton,,2019-02-21 16:13:23.313000+00:00,,6,instance with id 6,,,,,,5,CopyPasteStuff,,confirm,,
63,63,63,Web,complete,waitResponse,,2019-02-21 16:13:25.953000+00:00,,6,instance with id 6,www.webpage.com/error,,,,,5,CopyPasteStuff,,,,
64,64,64,Web,complete,goToUrl,,2019-02-21 16:13:33.908000+00:00,,6,instance with id 6,www.webpage.com,,,,,5,CopyPasteStuff,,,,
65,65,65,Web,complete,insertValue,,2019-02-21 16:13:35.676000+00:00,,6,instance with id 6,,,Frank01,,,5,CopyPasteStuff,,username,,
66,66,66,Web,complete,insertValue,,2019-02-21 16:13:46.745000+00:00,,6,instance with id 6,,,LittleFrank123,,,5,CopyPasteStuff,,password,,
67,67,67,Web,complete,clickButton,,2019-02-21 16:13:55.513000+00:00,,6,instance with id 6,,,,,,5,CopyPasteStuff,,confirm,,
68,68,68,Web,complete,waitResponse,,2019-02-21 16:13:58.048000+00:00,,6,instance with id 6,www.webpage.com/ok,,,,,5,CopyPasteStuff,,,,
69,69,69,Web,complete,clickButton,,2019-02-21 16:14:05.379000+00:00,,6,instance with id 6,,,,,,5,CopyPasteStuff,,Button1,,
70,70,70,Web,complete,clickButton,,2019-02-21 16:14:08.243000+00:00,,6,instance with id 6,,,,,,5,CopyPasteStuff,,B2,,
71,71,71,Web,complete,insertValue,,2019-02-21 16:14:11.372000+00:00,,6,instance with id 6,,,182381,,,5,CopyPasteStuff,,ID,,
72,72,72,Excel,complete,copy,,2019-02-21 16:14:13.476000+00:00,,6,instance with id 6,,,Au 58124829 XT,B,1.0,5,CopyPasteStuff,B1.0,,,
73,73,73,Web,complete,paste,,2019-02-21 16:14:16.073000+00:00,,6,instance with id 6,,,Au 58124829 XT,,,5,CopyPasteStuff,,Special code,,
74,74,74,Excel,complete,copy,,2019-02-21 16:14:20.557000+00:00,,6,instance with id 6,,,Melbourne 123,B,2.0,5,CopyPasteStuff,B2.0,,,
75,75,75,Web,complete,paste,,2019-02-21 16:14:23.827000+00:00,,6,instance with id 6,,,Melbourne 123,,,5,CopyPasteStuff,,Area,,
76,76,76,Web,complete,clickButton,,2019-02-21 16:14:28.545000+00:00,,6,instance with id 6,,,,,,5,CopyPasteStuff,,OK,,
77,77,77,Excel,complete,openFile,Sheet1,2019-02-21 16:14:38.545000+00:00,data.xls,7,instance with id 7,,,,,,5,CopyPasteStuff,,,,
78,78,78,Web,complete,goToUrl,,2019-02-21 16:14:38.545000+00:00,,7,instance with id 7,www.webpage.com,,,,,6,CopyPasteStuff,,,,
79,79,79,Web,complete,insertValue,,2019-02-21 16:14:42.692000+00:00,,7,instance with id 7,,,Frank01,,,6,CopyPasteStuff,,username,,
80,80,80,Web,complete,insertValue,,2019-02-21 16:14:52.754000+00:00,,7,instance with id 7,,,LittleFrank123,,,6,CopyPasteStuff,,password,,
81,81,81,Web,complete,clickButton,,2019-02-21 16:15:03.739000+00:00,,7,instance with id 7,,,,,,6,CopyPasteStuff,,confirm,,
82,82,82,Web,complete,waitResponse,,2019-02-21 16:15:06.876000+00:00,,7,instance with id 7,www.webpage.com/wrong,,,,,6,CopyPasteStuff,,,,
83,83,83,Excel,complete,insertValue,,2019-02-21 16:15:14.619000+00:00,,7,instance with id 7,,,Wrong log-in,A,10.0,6,CopyPasteStuff,A10.0,,,
84,84,84,Excel,complete,insertValue,,2019-02-21 16:15:16.626000+00:00,,7,instance with id 7,,,Wrong log-in,B,10.0,6,CopyPasteStuff,B10.0,,,
85,85,85,Excel,complete,insertValue,,2019-02-21 16:15:19.933000+00:00,,7,instance with id 7,,,Wrong log-in,C,10.0,6,CopyPasteStuff,C10.0,,,
86,86,86,Web,complete,clickButton,,2019-02-21 16:15:22.534000+00:00,,7,instance with id 7,,,,,,6,CopyPasteStuff,,cancel,,
87,87,87,Excel,complete,openFile,Sheet1,2019-02-21 16:15:32.534000+00:00,data.xls,8,instance with id 8,,,,,,7,CopyPasteStuff,,,,
88,88,88,Web,complete,goToUrl,,2019-02-21 16:15:44.686000+00:00,,8,instance with id 8,www.webpage.com,,,,,7,CopyPasteStuff,,,,
89,89,89,Web,complete,insertValue,,2019-02-21 16:15:57.462000+00:00,,8,instance with id 8,,,Frank01,,,7,CopyPasteStuff,,username,,
90,90,90,Web,complete,insertValue,,2019-02-21 16:16:06.950000+00:00,,8,instance with id 8,,,LittleFrank123,,,7,CopyPasteStuff,,password,,
91,91,91,Web,complete,clickButton,,2019-02-21 16:16:21.536000+00:00,,8,instance with id 8,,,,,,7,CopyPasteStuff,,confirm,,
92,92,92,Web,complete,waitResponse,,2019-02-21 16:16:25.882000+00:00,,8,instance with id 8,www.webpage.com/wrong,,,,,7,CopyPasteStuff,,,,
93,93,93,Excel,complete,insertValue,,2019-02-21 16:16:36.912000+00:00,,8,instance with id 8,,,Wrong log-in,A,10.0,7,CopyPasteStuff,A10.0,,,
94,94,94,Excel,complete,insertValue,,2019-02-21 16:16:38.994000+00:00,,8,instance with id 8,,,Wrong log-in,B,10.0,7,CopyPasteStuff,B10.0,,,
95,95,95,Excel,complete,insertValue,,2019-02-21 16:16:42.554000+00:00,,8,instance with id 8,,,Wrong log-in,C,10.0,7,CopyPasteStuff,C10.0,,,
96,96,96,Web,complete,clickButton,,2019-02-21 16:16:44.703000+00:00,,8,instance with id 8,,,,,,7,CopyPasteStuff,,cancel,,
97,97,97,Excel,complete,openFile,Sheet1,2019-02-21 16:16:54.703000+00:00,data.xls,9,instance with id 9,,,,,,8,CopyPasteStuff,,,,
98,98,98,Web,complete,goToUrl,,2019-02-21 16:17:10.512000+00:00,,9,instance with id 9,www.webpage.com,,,,,8,CopyPasteStuff,,,,
99,99,99,Web,complete,insertValue,,2019-02-21 16:17:10.512000+00:00,,9,instance with id 9,,,Frank01,,,8,CopyPasteStuff,,username,,
100,100,100,Web,complete,insertValue,,2019-02-21 16:17:16.364000+00:00,,9,instance with id 9,,,LittleFrank123,,,8,CopyPasteStuff,,password,,
101,101,101,Web,complete,clickButton,,2019-02-21 16:17:32.916000+00:00,,9,instance with id 9,,,,,,8,CopyPasteStuff,,confirm,,
102,102,102,Web,complete,waitResponse,,2019-02-21 16:17:34.543000+00:00,,9,instance with id 9,www.webpage.com/error,,,,,8,CopyPasteStuff,,,,
103,103,103,Web,complete,goToUrl,,2019-02-21 16:17:49.023000+00:00,,9,instance with id 9,www.webpage.com,,,,,8,CopyPasteStuff,,,,
104,104,104,Web,complete,insertValue,,2019-02-21 16:17:56.217000+00:00,,9,instance with id 9,,,Frank01,,,8,CopyPasteStuff,,username,,
105,105,105,Web,complete,insertValue,,2019-02-21 16:18:07.478000+00:00,,9,instance with id 9,,,LittleFrank123,,,8,CopyPasteStuff,,password,,
106,106,106,Web,complete,clickButton,,2019-02-21 16:18:15.294000+00:00,,9,instance with id 9,,,,,,8,CopyPasteStuff,,confirm,,
107,107,107,Web,complete,waitResponse,,2019-02-21 16:18:18.655000+00:00,,9,instance with id 9,www.webpage.com/ok,,,,,8,CopyPasteStuff,,,,
108,108,108,Web,complete,clickButton,,2019-02-21 16:18:30.352000+00:00,,9,instance with id 9,,,,,,8,CopyPasteStuff,,Button1,,
109,109,109,Web,complete,clickButton,,2019-02-21 16:18:33.905000+00:00,,9,instance with id 9,,,,,,8,CopyPasteStuff,,B2,,
110,110,110,Web,complete,insertValue,,2019-02-21 16:18:36.926000+00:00,,9,instance with id 9,,,182381,,,8,CopyPasteStuff,,ID,,
111,111,111,Excel,complete,copy,,2019-02-21 16:18:39.988000+00:00,,9,instance with id 9,,,Au 58124829 XT,B,1.0,8,CopyPasteStuff,B1.0,,,
112,112,112,Web,complete,paste,,2019-02-21 16:18:42.226000+00:00,,9,instance with id 9,,,Au 58124829 XT,,,8,CopyPasteStuff,,Special code,,
113,113,113,Excel,complete,copy,,2019-02-21 16:18:43.491000+00:00,,9,instance with id 9,,,Melbourne 123,B,2.0,8,CopyPasteStuff,B2.0,,,
114,114,114,Web,complete,paste,,2019-02-21 16:18:46.585000+00:00,,9,instance with id 9,,,Melbourne 123,,,8,CopyPasteStuff,,Area,,
115,115,115,Web,complete,clickButton,,2019-02-21 16:18:49.100000+00:00,,9,instance with id 9,,,,,,8,CopyPasteStuff,,OK,,
116,116,116,Excel,complete,openFile,Sheet1,2019-02-21 16:18:59.100000+00:00,data.xls,10,instance with id 10,,,,,,9,CopyPasteStuff,,,,
117,117,117,Web,complete,goToUrl,,2019-02-21 16:19:09.169000+00:00,,10,instance with id 10,www.webpage.com,,,,,9,CopyPasteStuff,,,,
118,118,118,Web,complete,insertValue,,2019-02-21 16:19:19.953000+00:00,,10,instance with id 10,,,Frank01,,,9,CopyPasteStuff,,username,,
119,119,119,Web,complete,insertValue,,2019-02-21 16:19:28.363000+00:00,,10,instance with id 10,,,LittleFrank123,,,9,CopyPasteStuff,,password,,
120,120,120,Web,complete,clickButton,,2019-02-21 16:19:41.039000+00:00,,10,instance with id 10,,,,,,9,CopyPasteStuff,,confirm,,
121,121,121,Web,complete,waitResponse,,2019-02-21 16:19:44.610000+00:00,,10,instance with id 10,www.webpage.com/ok,,,,,9,CopyPasteStuff,,,,
122,122,122,Web,complete,clickButton,,2019-02-21 16:19:53.809000+00:00,,10,instance with id 10,,,,,,9,CopyPasteStuff,,Button1,,
123,123,123,Web,complete,clickButton,,2019-02-21 16:19:56.297000+00:00,,10,instance with id 10,,,,,,9,CopyPasteStuff,,B2,,
124,124,124,Web,complete,insertValue,,2019-02-21 16:19:57.265000+00:00,,10,instance with id 10,,,182381,,,9,CopyPasteStuff,,ID,,
125,125,125,Excel,complete,copy,,2019-02-21 16:20:01.588000+00:00,,10,instance with id 10,,,Au 58124829 XT,B,1.0,9,CopyPasteStuff,B1.0,,,
126,126,126,Web,complete,paste,,2019-02-21 16:20:03.824000+00:00,,10,instance with id 10,,,Au 58124829 XT,,,9,CopyPasteStuff,,Special code,,
127,127,127,Excel,complete,copy,,2019-02-21 16:20:08.050000+00:00,,10,instance with id 10,,,Melbourne 123,B,2.0,9,CopyPasteStuff,B2.0,,,
128,128,128,Web,complete,paste,,2019-02-21 16:20:11.669000+00:00,,10,instance with id 10,,,Melbourne 123,,,9,CopyPasteStuff,,Area,,
129,129,129,Web,complete,clickButton,,2019-02-21 16:20:13.736000+00:00,,10,instance with id 10,,,,,,9,CopyPasteStuff,,OK,,
130,130,130,Excel,complete,openFile,Sheet1,2019-02-21 16:20:23.736000+00:00,data.xls,11,instance with id 11,,,,,,10,CopyPasteStuff,,,,
131,131,131,Web,complete,goToUrl,,2019-02-21 16:20:34.553000+00:00,,11,instance with id 11,www.webpage.com,,,,,10,CopyPasteStuff,,,,
132,132,132,Web,complete,insertValue,,2019-02-21 16:20:40.290000+00:00,,11,instance with id 11,,,Frank01,,,10,CopyPasteStuff,,username,,
133,133,133,Web,complete,insertValue,,2019-02-21 16:20:49.206000+00:00,,11,instance with id 11,,,LittleFrank123,,,10,CopyPasteStuff,,password,,
134,134,134,Web,complete,clickButton,,2019-02-21 16:20:58.628000+00:00,,11,instance with id 11,,,,,,10,CopyPasteStuff,,confirm,,
135,135,135,Web,complete,waitResponse,,2019-02-21 16:21:00.415000+00:00,,11,instance with id 11,www.webpage.com/ok,,,,,10,CopyPasteStuff,,,,
136,136,136,Web,complete,clickButton,,2019-02-21 16:21:03.515000+00:00,,11,instance with id 11,,,,,,10,CopyPasteStuff,,Button1,,
137,137,137,Web,complete,clickButton,,2019-02-21 16:21:08.513000+00:00,,11,instance with id 11,,,,,,10,CopyPasteStuff,,B2,,
138,138,138,Web,complete,insertValue,,2019-02-21 16:21:13.921000+00:00,,11,instance with id 11,,,182381,,,10,CopyPasteStuff,,ID,,
139,139,139,Excel,complete,copy,,2019-02-21 16:21:16.873000+00:00,,11,instance with id 11,,,Au 58124829 XT,B,1.0,10,CopyPasteStuff,B1.0,,,
140,140,140,Web,complete,paste,,2019-02-21 16:21:20.126000+00:00,,11,instance with id 11,,,Au 58124829 XT,,,10,CopyPasteStuff,,Special code,,
141,141,141,Excel,complete,copy,,2019-02-21 16:21:24.216000+00:00,,11,instance with id 11,,,Melbourne 123,B,2.0,10,CopyPasteStuff,B2.0,,,
142,142,142,Web,complete,paste,,2019-02-21 16:21:28.566000+00:00,,11,instance with id 11,,,Melbourne 123,,,10,CopyPasteStuff,,Area,,
143,143,143,Web,complete,clickButton,,2019-02-21 16:21:31.991000+00:00,,11,instance with id 11,,,,,,10,CopyPasteStuff,,OK,,
144,144,144,Excel,complete,openFile,Sheet1,2019-02-21 16:21:41.991000+00:00,data.xls,12,instance with id 12,,,,,,11,CopyPasteStuff,,,,
145,145,145,Web,complete,goToUrl,,2019-02-21 16:21:51.769000+00:00,,12,instance with id 12,www.webpage.com,,,,,11,CopyPasteStuff,,,,
146,146,146,Web,complete,insertValue,,2019-02-21 16:21:57.496000+00:00,,12,instance with id 12,,,Frank01,,,11,CopyPasteStuff,,username,,
147,147,147,Web,complete,insertValue,,2019-02-21 16:22:09.182000+00:00,,12,instance with id 12,,,LittleFrank123,,,11,CopyPasteStuff,,password,,
148,148,148,Web,complete,clickButton,,2019-02-21 16:22:18.937000+00:00,,12,instance with id 12,,,,,,11,CopyPasteStuff,,confirm,,
149,149,149,Web,complete,waitResponse,,2019-02-21 16:22:23.419000+00:00,,12,instance with id 12,www.webpage.com/wrong,,,,,11,CopyPasteStuff,,,,
150,150,150,Excel,complete,insertValue,,2019-02-21 16:22:30.515000+00:00,,12,instance with id 12,,,Wrong log-in,A,10.0,11,CopyPasteStuff,A10.0,,,
151,151,151,Excel,complete,insertValue,,2019-02-21 16:22:34.408000+00:00,,12,instance with id 12,,,Wrong log-in,B,10.0,11,CopyPasteStuff,B10.0,,,
152,152,152,Excel,complete,insertValue,,2019-02-21 16:22:37.400000+00:00,,12,instance with id 12,,,Wrong log-in,C,10.0,11,CopyPasteStuff,C10.0,,,
153,153,153,Web,complete,clickButton,,2019-02-21 16:22:40.204000+00:00,,12,instance with id 12,,,,,,11,CopyPasteStuff,,cancel,,
154,154,154,Excel,complete,openFile,Sheet1,2019-02-21 16:22:50.204000+00:00,data.xls,13,instance with id 13,,,,,,12,CopyPasteStuff,,,,
155,155,155,Web,complete,goToUrl,,2019-02-21 16:22:59.927000+00:00,,13,instance with id 13,www.webpage.com,,,,,12,CopyPasteStuff,,,,
156,156,156,Web,complete,insertValue,,2019-02-21 16:23:02.577000+00:00,,13,instance with id 13,,,Frank01,,,12,CopyPasteStuff,,username,,
157,157,157,Web,complete,insertValue,,2019-02-21 16:23:15.783000+00:00,,13,instance with id 13,,,LittleFrank123,,,12,CopyPasteStuff,,password,,
158,158,158,Web,complete,clickButton,,2019-02-21 16:23:17.276000+00:00,,13,instance with id 13,,,,,,12,CopyPasteStuff,,confirm,,
159,159,159,Web,complete,waitResponse,,2019-02-21 16:23:22.379000+00:00,,13,instance with id 13,www.webpage.com/wrong,,,,,12,CopyPasteStuff,,,,
160,160,160,Excel,complete,insertValue,,2019-02-21 16:23:33.160000+00:00,,13,instance with id 13,,,Wrong log-in,A,10.0,12,CopyPasteStuff,A10.0,,,
161,161,161,Excel,complete,insertValue,,2019-02-21 16:23:36.587000+00:00,,13,instance with id 13,,,Wrong log-in,B,10.0,12,CopyPasteStuff,B10.0,,,
162,162,162,Excel,complete,insertValue,,2019-02-21 16:23:40.284000+00:00,,13,instance with id 13,,,Wrong log-in,C,10.0,12,CopyPasteStuff,C10.0,,,
163,163,163,Web,complete,clickButton,,2019-02-21 16:23:41.579000+00:00,,13,instance with id 13,,,,,,12,CopyPasteStuff,,cancel,,
164,164,164,Excel,complete,openFile,Sheet1,2019-02-21 16:23:51.579000+00:00,data.xls,14,instance with id 14,,,,,,13,CopyPasteStuff,,,,
165,165,165,Web,complete,goToUrl,,2019-02-21 16:23:51.709000+00:00,,14,instance with id 14,www.webpage.com,,,,,13,CopyPasteStuff,,,,
166,166,166,Web,complete,insertValue,,2019-02-21 16:24:07.847000+00:00,,14,instance with id 14,,,Frank01,,,13,CopyPasteStuff,,username,,
167,167,167,Web,complete,insertValue,,2019-02-21 16:24:07.847000+00:00,,14,instance with id 14,,,LittleFrank123,,,13,CopyPasteStuff,,password,,
168,168,168,Web,complete,clickButton,,2019-02-21 16:24:28.446000+00:00,,14,instance with id 14,,,,,,13,CopyPasteStuff,,confirm,,
169,169,169,Web,complete,waitResponse,,2019-02-21 16:24:31.190000+00:00,,14,instance with id 14,www.webpage.com/error,,,,,13,CopyPasteStuff,,,,
170,170,170,Web,complete,goToUrl,,2019-02-21 16:24:38.088000+00:00,,14,instance with id 14,www.webpage.com,,,,,13,CopyPasteStuff,,,,
171,171,171,Web,complete,insertValue,,2019-02-21 16:24:41.143000+00:00,,14,instance with id 14,,,Frank01,,,13,CopyPasteStuff,,username,,
172,172,172,Web,complete,insertValue,,2019-02-21 16:24:53.661000+00:00,,14,instance with id 14,,,LittleFrank123,,,13,CopyPasteStuff,,password,,
173,173,173,Web,complete,clickButton,,2019-02-21 16:24:59.984000+00:00,,14,instance with id 14,,,,,,13,CopyPasteStuff,,confirm,,
174,174,174,Web,complete,waitResponse,,2019-02-21 16:25:01.791000+00:00,,14,instance with id 14,www.webpage.com/ok,,,,,13,CopyPasteStuff,,,,
175,175,175,Web,complete,clickButton,,2019-02-21 16:25:21.013000+00:00,,14,instance with id 14,,,,,,13,CopyPasteStuff,,Button1,,
176,176,176,Web,complete,clickButton,,2019-02-21 16:25:24.657000+00:00,,14,instance with id 14,,,,,,13,CopyPasteStuff,,B2,,
177,177,177,Web,complete,insertValue,,2019-02-21 16:25:28.531000+00:00,,14,instance with id 14,,,182381,,,13,CopyPasteStuff,,ID,,
